,제목,유사곡
0,드라마,Red Queen (Feat. Zion.T)
0,드라마,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ)
0,드라마,그렇게 사랑은
1,strawberry moon,A Dreamer
1,strawberry moon,좋은 날
1,strawberry moon,첫사랑이죠
2,라일락,그대네요
2,라일락,마침표
2,라일락,봄 안녕 봄
3,Blueming,누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls)
3,Blueming,첫사랑이죠
3,Blueming,비밀
4,밤편지,나의 옛날이야기
4,밤편지,사랑을 믿어요
4,밤편지,러브레터
5,겨울잠,푸르던
5,겨울잠,달빛바다
5,겨울잠,가을 아침
6,레옹,마음을 드려요
6,레옹,사랑이 잘 (With 오혁)
6,레옹,팔레트 (Feat. G-DRAGON)
7,Celebrity,그 애 참 싫다
7,Celebrity,꽃
7,Celebrity,그렇게 사랑은
8,마음을 드려요,매일 그대와
8,마음을 드려요,바라보기
8,마음을 드려요,그러는 그대는
9,내 손을 잡아,난 사랑을 아직 몰라
9,내 손을 잡아,느리게 하는 일
9,내 손을 잡아,잠자는 숲 속의 왕자 (Feat. 윤상)
10,봄 사랑 벚꽃 말고,그렇게 사랑은
10,봄 사랑 벚꽃 말고,애타는 마음
10,봄 사랑 벚꽃 말고,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ)
11,하루 끝,혼자 있는 방
11,하루 끝,이게 아닌데
11,하루 끝,Last Fantasy
12,Love poem,잠 못 드는 밤 비는 내리고
12,Love poem,잼잼
12,Love poem,사랑을 믿어요
13,나의 옛날이야기,사랑이 지나가면
13,나의 옛날이야기,한낮의 꿈 (Feat. 양희은)
13,나의 옛날이야기,바라보기
14,에잇(Prod.&Feat. SUGA of BTS),러브레터
14,에잇(Prod.&Feat. SUGA of BTS),첫 이별 그날 밤
14,에잇(Prod.&Feat. SUGA of BTS),시간의 바깥
15,좋은 날,A Dreamer
15,좋은 날,Boo
15,좋은 날,느리게 하는 일
16,금요일에 만나요 (Feat. 장이정 Of HISTORY),하루 끝
16,금요일에 만나요 (Feat. 장이정 Of HISTORY),밤편지
16,금요일에 만나요 (Feat. 장이정 Of HISTORY),너랑 나
17,너랑 나,Teacher (Feat. Ra.D)
17,너랑 나,느리게 하는 일
17,너랑 나,봄 안녕 봄
18,아이와 나의 바다,달빛바다
18,아이와 나의 바다,Obliviate
18,아이와 나의 바다,사랑을 믿어요
19,팔레트 (Feat. G-DRAGON),Teacher (Feat. Ra.D)
19,팔레트 (Feat. G-DRAGON),느리게 하는 일
19,팔레트 (Feat. G-DRAGON),너랑 나
20,어푸 (Ah puh),한낮의 꿈 (Feat. 양희은)
20,어푸 (Ah puh),나의 옛날이야기
20,어푸 (Ah puh),누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls)
21,비밀의 화원,Havana
21,비밀의 화원,바람꽃 (E.S)
21,비밀의 화원,사랑이 지나가면
22,너의 의미 (Feat. 김창완),Into the I-LAND
22,너의 의미 (Feat. 김창완),다섯째 손가락
22,너의 의미 (Feat. 김창완),싫은 날
23,스물셋,Red Queen (Feat. Zion.T)
